∩╗┐,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Kuwaiti,Ahmed,sick leave,,Kuwaiti,faisal,emergency leave,,Kuwaiti,faisal,annual leave,,Kuwaiti,sarah,annual leave,,Kuwaiti,layla,annual leave,,Expat,john,sick leave
January First,1/1/26,,,February First,2/1/26,,,January First,1/1/26,,,January First,1/1/26,,,January First,1/1/26,,,February First,2/1/26,
January End,1/31/26,,,February End,2/28/26,,,January End,1/31/26,,,January End,1/31/26,,,January End,1/31/26,,,February End,2/28/26,
Lv Start,1/4/26,sick leave,,Lv Start,2/24/26,Emergency,,Lv Start,1/11/26,annual,,Lv Start,1/28/26,annual,,Lv Start,1/18/26,annual,,Lv Start,2/8/26,sick
Lv End,1/7/26,sick leave,,Lv End,2/28/26,Emergency,,Lv End,1/15/26,annual,,Lv End,2/5/26,annual - straddle,,Lv End,1/22/26,annual,,Lv End,2/12/26,sick
Sick Segment,1.00,0% Deduction,,Sick Segment,1.00,0 Deductions,,Sick Segment,1.00,0 Deductions,,Sick Segment,1.00,0 Deductions,,Sick Segment,1.00,0 Deductions,,Sick Segment,1.00,0 Deductions
Wrk days before lv,2.00,less 1 day,,Wrk days before lv,20.00,less 1 day,,Wrk days before lv,8.00,less 1 day,,Wrk days before lv,23.00,less 1 day,,Wrk days before lv,14.00,less 1 day,,Wrk days before lv,6.00,less 1 day
Lv Days,4.00,inclusive,,Lv Days,4.00,inclusive,,Lv Days,5.00,inclusive,,Lv Days,8.00,inclusive,,Lv Days,5.00,inclusive,,Lv Days,5.00,inclusive
Wrk days after lv,20.00,plus 1,,Wrk days after lv,0.00,Current Month,,Wrk days after lv,13.00,Current Month,,Wrk days after lv,0.00,Current Month,,Wrk days after lv,7.00,Current Month,,Wrk days after lv,13.00,Current Month
Base Salary,3200,,,Base Salary,7500,,,Base Salary,7500,,,Base Salary,2200,,,Base Salary,3500,,,Base Salary,1800,
Allowance ,320,Tech. Deductable,,Allowance ,1000,Housing Non-deductible,,Allowance ,1000,Housing Non-deductible,,Allowance ,0,No Allowance,,Allowance ,150,Transport Deductible,,Allowance,300,Housing Non-deductible
